Price,Rent,Area,Rooms,Floor,Location,Dealer,Building,Furnished,Dishwasher,Elevator,Balcony,Popularity,Time,Date,Title,Id_number,Link
1 800 zł,390 zł,41 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Blok,Tak,1,1,0,27.0,28,15.10.2019,Wynajmę mieszkanie,562223678,https://www.olx.pl/oferta/wynajme-mieszkanie-CID3-IDC323Q.html#cf4e890f05
1 850 zł,350 zł,35 m²,Kawalerka,3,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Kamienica,Tak,1,0,0,586.0,2,15.10.2019,Kawalerka z wydzieloną sypialnią – pl.Legionów – Pierwszy Najem,561799142,https://www.olx.pl/oferta/kawalerka-z-wydzielona-sypialnia-pl-legionow-pierwszy-najem-CID3-IDC1fCu.html#cf4e890f05;promoted
1 650 zł,700 zł,50 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Kamienica,Tak,0,0,0,364.0,24,15.10.2019,Do wynajęcia mieszkanie dwupokojowe przy ul.Saperów,542944031,https://www.olx.pl/oferta/do-wynajecia-mieszkanie-dwupokojowe-przy-ul-saperow-CID3-IDAK8xN.html#cf4e890f05;promoted
1 400 zł,560 zł,37 m²,Kawalerka,2,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,1,0,0,100.0,28,15.10.2019,Kawalerka do wynajęcia ul. Jabłeczna 1.400 zł + opłaty,562223146,https://www.olx.pl/oferta/kawalerka-do-wynajecia-ul-jableczna-1-400-zl-oplaty-CID3-IDC31Wg.html#cf4e890f05
2 400 zł,500 zł,53 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Apartamentowiec,Tak,1,0,0,68.0,2,15.10.2019,Nowoczesne mieszkanie w centrum,562222477,https://www.olx.pl/oferta/nowoczesne-mieszkanie-w-centrum-CID3-IDC31Kt.html#cf4e890f05;promoted
1 200 zł,400 zł,29 m²,Kawalerka,2,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Kamienica,Tak,0,0,0,138.0,2,15.10.2019,Kawalerka Rynek Wrocław,562220033,https://www.olx.pl/oferta/kawalerka-rynek-wroclaw-CID3-IDC3173.html#cf4e890f05
2 200 zł,480 zł,48 m²,2 pokoje,2,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Apartamentowiec,Tak,0,1,0,63.0,+30,15.10.2019,Reymonta 2 pokoje mieszkanie do wynajęcia OD ZARAZ,562216628,https://www.olx.pl/oferta/reymonta-2-pokoje-mieszkanie-do-wynajecia-od-zaraz-CID3-IDC30e8.html#cf4e890f05;promoted
2 400 zł,350 zł,55 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Kamienica,Tak,0,0,0,2933.0,16,15.10.2019,"Ul. Grunwaldzka mieszkanie 3 pokoje, rozkładowe",553747225,https://www.olx.pl/oferta/ul-grunwaldzka-mieszkanie-3-pokoje-rozkladowe-CID3-IDBtsVR.html#cf4e890f05;promoted
3 000 zł,550 zł,40 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Śródmieście",Biuro / Deweloper,Apartamentowiec,Tak,0,1,1,33.0,+30,15.10.2019,Nadodrze ul. Kaszubska - piękne 2 pok. mieszkanie w centrum,562210774,https://www.olx.pl/oferta/nadodrze-ul-kaszubska-piekne-2-pok-mieszkanie-w-centrum-CID3-IDC2YHI.html#cf4e890f05;promoted
1 700 zł,300 zł,35 m²,Kawalerka,2,"Wrocław, Dolnośląskie, Psie Pole",Osoby prywatnej,Blok,Tak,0,0,0,2292.0,30,15.10.2019,Wynajmę kawalerkę w centrum Wrocławia,558913228,https://www.olx.pl/oferta/wynajme-kawalerke-w-centrum-wroclawia-CID3-IDBP8Ru.html#cf4e890f05;promoted
1 500 zł,400 zł,37 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Psie Pole",Osoby prywatnej,Blok,Tak,0,1,1,200.0,15,15.10.2019,Wynajmę mieszkanie 37m2,562200535,https://www.olx.pl/oferta/wynajme-mieszkanie-37m2-CID3-IDC2V2z.html#cf4e890f05
1 500 zł,600 zł,"39,40 m²",2 pokoje,10,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Blok,Tak,0,0,0,1538.0,15,15.10.2019,"Mieszkanie do wynajęcia, boczna Legnickiej",560221336,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-boczna-legnickiej-CID3-IDBUDa0.html#cf4e890f05;promoted
1 900 zł,400 zł,40 m²,2 pokoje,,"Wrocław, Dolnośląskie, Krzyki",Biuro / Deweloper,Blok,Tak,0,0,0,1685.0,0,15.10.2019,Mieszkanie z którego nie chce się wyprowadzać,558250722,https://www.olx.pl/oferta/mieszkanie-z-ktorego-nie-chce-sie-wyprowadzac-CID3-IDBMmwU.html#cf4e890f05
700 zł,200 zł,63 m²,3 pokoje,2,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,1,2564.0,12,15.10.2019,Mieszkanie do wynajęcia dla studentów Muchobór Mały,555377055,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-dla-studentow-muchobor-maly-CID3-IDBAiVr.html#cf4e890f05
1 800 zł,350 zł,40 m²,2 pokoje,2,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Blok,Tak,0,0,0,374.0,2,15.10.2019,Wynajmę dwupokojowe mieszkanie ul.Podwórcowa Wrocław Śródmieście,561776893,https://www.olx.pl/oferta/wynajme-dwupokojowe-mieszkanie-ul-podworcowa-wroclaw-srodmiescie-CID3-IDC19PD.html#cf4e890f05;promoted
1 900 zł,300 zł,20 m²,Kawalerka,4,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,2148.0,2,15.10.2019,Kawalerka Mieszkanie 1 pok. PIŁSUDSKIEGO blisko Rynek PKP Skytower,497596798,https://www.olx.pl/oferta/kawalerka-mieszkanie-1-pok-pilsudskiego-blisko-rynek-pkp-skytower-CID3-IDxFREO.html#cf4e890f05;promoted
2 000 zł,1 zł,26 m²,Kawalerka,3,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,0,149.0,3,15.10.2019,Komfortowa kawalerka w świetnej lokalizacji - bez dodatkowych opłat,562200011,https://www.olx.pl/oferta/komfortowa-kawalerka-w-swietnej-lokalizacji-bez-dodatkowych-oplat-CID3-IDC2WU7.html#cf4e890f05;promoted
2 300 zł,800 zł,62 m²,3 pokoje,9,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,1,1,1,919.0,+30,15.10.2019,"Mieszkanie Apartamenty Strzegomska, 3 pokoje, dla rodziny, pary, garaż",551284478,https://www.olx.pl/oferta/mieszkanie-apartamenty-strzegomska-3-pokoje-dla-rodziny-pary-garaz-CID3-IDBj8h8.html#cf4e890f05;promoted
1 000 zł,50 zł,85 m²,4 i więcej,2,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,0,952.0,23,15.10.2019,Pokój do wynajęcia od już!,559429005,https://www.olx.pl/oferta/pokoj-do-wynajecia-od-juz-CID3-IDBRj2t.html#cf4e890f05;promoted
2 499 zł,700 zł,55 m²,3 pokoje,,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Kamienica,Tak,1,0,0,551.0,2,15.10.2019,Jęczmienna dla 3-4 osob Centrum . Bez prowizji.Po remoncie.SUPER,559487139,https://www.olx.pl/oferta/jeczmienna-dla-3-4-osob-centrum-bez-prowizji-po-remoncie-super-CID3-IDBRya7.html#cf4e890f05;promoted
2 000 zł,300 zł,50 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,73.0,15,15.10.2019,Nowe dwupokojowe mieszkanie/blisko UE,562200553,https://www.olx.pl/oferta/nowe-dwupokojowe-mieszkanie-blisko-ue-CID3-IDC2V2R.html#cf4e890f05
1 950 zł,390 zł,27 m²,Kawalerka,1,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Blok,Tak,0,0,1,260.0,15,15.10.2019,Oporowska - Apartament do wynajęcia/ TV + net,558973661,https://www.olx.pl/oferta/oporowska-apartament-do-wynajecia-tv-net-CID3-IDBPoAd.html#cf4e890f05
1 500 zł,120 zł,24 m²,Kawalerka,5,"Wrocław, Dolnośląskie, Psie Pole",Osoby prywatnej,Apartamentowiec,Tak,0,0,1,159.0,2,15.10.2019,Apartament pl.Kromera monitoring,562200112,https://www.olx.pl/oferta/apartament-pl-kromera-monitoring-CID3-IDC2WWK.html#cf4e890f05
1 450 zł,"0,01 zł",16 m²,Kawalerka,5,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Apartamentowiec,Tak,0,0,0,118.0,15,15.10.2019,"Kawalerka dla studenta z mediami w cenie! - Nokia, PWr, UWr, DSW, WSB",562199851,https://www.olx.pl/oferta/kawalerka-dla-studenta-z-mediami-w-cenie-nokia-pwr-uwr-dsw-wsb-CID3-IDC2WRx.html#cf4e890f05
3 100 zł,3 200 zł,75 m²,4 i więcej,4,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,1,0,0,818.0,30,15.10.2019,Nowoczesne mieszkanie 4-pokojowe obok Sky Tower/UE od 1.10 75m2,551721297,https://www.olx.pl/oferta/nowoczesne-mieszkanie-4-pokojowe-obok-sky-tower-ue-od-1-10-75m2-CID3-IDBkXUB.html#cf4e890f05;promoted
2 100 zł,400 zł,43 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,1,1,1,76.0,28,15.10.2019,Mieszkanie do wynajęcia Lokum DiTrevi,562192672,https://www.olx.pl/oferta/mieszkanie-do-wynajecia-lokum-ditrevi-CID3-IDC2TZK.html#cf4e890f05
1 600 zł,300 zł,42 m²,Kawalerka,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,291.0,9,15.10.2019,Mieszkanie na wynajem,562190384,https://www.olx.pl/oferta/mieszkanie-na-wynajem-CID3-IDC2ToQ.html#cf4e890f05
700 zł,50 zł,55 m²,3 pokoje,3,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Apartamentowiec,Tak,0,0,1,6874.0,30,14.10.2019,Student (ka) do współdzielenie pokoju KOMUNY PARYSKIEJ 90 centrum,555860717,https://www.olx.pl/oferta/student-ka-do-wspoldzielenie-pokoju-komuny-paryskiej-90-centrum-CID3-IDBCkLr.html#f8df86b756;promoted
2 150 zł,500 zł,55 m²,2 pokoje,5,"Wrocław, Dolnośląskie, Stare Miasto",Biuro / Deweloper,Apartamentowiec,Nie,0,0,0,1435.0,7,14.10.2019,Mieszkanie 2 pokojowe ODRA HOUSE 55 m2 z siłownią i ochroną,553268852,https://www.olx.pl/oferta/mieszkanie-2-pokojowe-odra-house-55-m2-z-silownia-i-ochrona-CID3-IDBrswa.html#f8df86b756;promoted
1 800 zł,200 zł,44 m²,2 pokoje,5,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Kamienica,Tak,0,0,0,1474.0,2,15.10.2019,"Wynajmę przytulne 2-pokojowe mieszkanie w centrum Wrocławia, Nadodrze",558646040,https://www.olx.pl/oferta/wynajme-przytulne-2-pokojowe-mieszkanie-w-centrum-wroclawia-nadodrze-CID3-IDBO1m0.html#f8df86b756;promoted
1 900 zł,450 zł,82 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Stare Miasto",Biuro / Deweloper,Kamienica,Tak,0,0,1,134.0,20,15.10.2019,"Wielkie, 3 pokoje, pełen rozkład, CENTRUM",553225006,https://www.olx.pl/oferta/wielkie-3-pokoje-pelen-rozklad-centrum-CID3-IDBrh5Y.html#f8df86b756;promoted
2 900 zł,370 zł,52 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Apartamentowiec,Tak,1,0,1,54.0,10,15.10.2019,Apartament do wynajęcia,562189285,https://www.olx.pl/oferta/apartament-do-wynajecia-CID3-IDC2T77.html#f8df86b756
1 800 zł,150 zł,"50,40 m²",2 pokoje,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,0,733.0,0,15.10.2019,"Mieszkanie 2-pokojowe 50,4mkw. Wysoki standard",561398448,https://www.olx.pl/oferta/mieszkanie-2-pokojowe-50-4mkw-wysoki-standard-CID3-IDBZznG.html#f8df86b756;promoted
3 000 zł,350 zł,"33,19 m²",Kawalerka,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Apartamentowiec,Tak,0,0,1,1836.0,6,15.10.2019,Apartament Typu Studio - Bezpośrednio - Pierwszy Najem,559597834,https://www.olx.pl/oferta/apartament-typu-studio-bezposrednio-pierwszy-najem-CID3-IDBS0Xv.html#f8df86b756;promoted
2 000 zł,300 zł,38 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Kamienica,Tak,0,0,1,622.0,30,15.10.2019,Wynajmę ładne mieszkanie 2 pokojowe na Brochowie,558411045,https://www.olx.pl/oferta/wynajme-ladne-mieszkanie-2-pokojowe-na-brochowie-CID3-IDBN2dL.html#f8df86b756
2 200 zł,1 zł,72 m²,3 pokoje,2,"Wrocław, Dolnośląskie, Psie Pole",Osoby prywatnej,Dom wolnostojący,Tak,0,0,0,1473.0,15,15.10.2019,3 pokojowe Mieszkanie 72 m2 Soltysowice 2200 wszystkie oplaty w cenie,558874050,https://www.olx.pl/oferta/3-pokojowe-mieszkanie-72-m2-soltysowice-2200-wszystkie-oplaty-w-cenie-CID3-IDBOYFA.html#f8df86b756;promoted
2 550 zł,150 zł,50 m²,3 pokoje,4,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Kamienica,Tak,0,0,0,1001.0,4,15.10.2019,Mieszkanie 50m2 na wynajem!,555924921,https://www.olx.pl/oferta/mieszkanie-50m2-na-wynajem-CID3-IDBCBsZ.html#f8df86b756;promoted
550 zł,150 zł,24 m²,4 i więcej,2,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Kamienica,Tak,0,0,0,1987.0,+30,15.10.2019,Wynajmę miejsce w pokoju 2 osobowym centrum Politechniki,509522624,https://www.olx.pl/oferta/wynajme-miejsce-w-pokoju-2-osobowym-centrum-politechniki-CID3-IDytU6Q.html#f8df86b756
2 000 zł,1 zł,54 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Szeregowiec,Tak,1,0,1,1006.0,24,15.10.2019,Słoneczne trzypokojowe mieszkanie z dużym tarasem,560961137,https://www.olx.pl/oferta/sloneczne-trzypokojowe-mieszkanie-z-duzym-tarasem-CID3-IDBXJCh.html#f8df86b756;promoted
1 989 zł,499 zł,44 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,1,0,1,68.0,30,15.10.2019,"Na wynajem Wrocław, Wambierzycka, Tarnogaj, 44m , do wynajęcia.",562177857,https://www.olx.pl/oferta/na-wynajem-wroclaw-wambierzycka-tarnogaj-44m-do-wynajecia-CID3-IDC2Q8N.html#f8df86b756;promoted
1 800 zł,500 zł,53 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,1,0,1,706.0,28,15.10.2019,Mieszkanie 53m2 -nowoczesne osiedle,552893074,https://www.olx.pl/oferta/mieszkanie-53m2-nowoczesne-osiedle-CID3-IDBpSKe.html#f8df86b756
1 100 zł,0,,,,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,,Tak,0,0,0,221.0,2,15.10.2019,"Kawalerka dla 1 os., do wynajęcia 1100 zł.",562168944,https://www.olx.pl/oferta/kawalerka-dla-1-os-do-wynajecia-1100-zl-CID3-IDC2NP2.html#f8df86b756
1 900 zł,500 zł,54 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Kamienica,Tak,1,0,0,418.0,14,15.10.2019,Dwupokojowe mieszkanie 54.3 m2 Wroclaw Krzyki wynajem,558608969,https://www.olx.pl/oferta/dwupokojowe-mieszkanie-54-3-m2-wroclaw-krzyki-wynajem-CID3-IDBNRI5.html#f8df86b756
2 200 zł,1 zł,42 m²,Kawalerka,3,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Kamienica,Tak,1,0,0,562.0,28,15.10.2019,"Duża 2-3 osobowa kawalerka , w samym centrum Pl.Bema",542795048,https://www.olx.pl/oferta/duza-2-3-osobowa-kawalerka-w-samym-centrum-pl-bema-CID3-IDAJwMQ.html#f8df86b756
2 590 zł,490 zł,41 m²,Kawalerka,1,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Kamienica,Tak,0,1,0,98.0,30,15.10.2019,Wynajmę mieszkanie pl. Solny-Rynek,562173743,https://www.olx.pl/oferta/wynajme-mieszkanie-pl-solny-rynek-CID3-IDC2P4r.html#f8df86b756
1 800 zł,450 zł,47 m²,3 pokoje,3,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Blok,Tak,0,0,1,1494.0,14,15.10.2019,Mieszkanie 3 pokojowe do najmu za całość ok 2300zł.,557380200,https://www.olx.pl/oferta/mieszkanie-3-pokojowe-do-najmu-za-calosc-ok-2300zl-CID3-IDBII3e.html#f8df86b756;promoted
2 500 zł,500 zł,48 m²,2 pokoje,3,"Wrocław, Dolnośląskie, Stare Miasto",Osoby prywatnej,Kamienica,Tak,0,0,0,66.0,+30,15.10.2019,Rynek super ciche mieszkanie 48m2 wynajem,562169419,https://www.olx.pl/oferta/rynek-super-ciche-mieszkanie-48m2-wynajem-CID3-IDC2NVH.html#f8df86b756
1 600 zł,400 zł,20 m²,Kawalerka,,"Wrocław, Dolnośląskie, Śródmieście",Biuro / Deweloper,Blok,Tak,0,0,0,657.0,30,15.10.2019,Ul. Wyszyńskiego/Nowowiejska kawalerka dla osób pracujących,550702538,https://www.olx.pl/oferta/ul-wyszynskiego-nowowiejska-kawalerka-dla-osob-pracujacych-CID3-IDBgGT0.html#f8df86b756
2 300 zł,500 zł,31 m²,2 pokoje,4,"Wrocław, Dolnośląskie, Stare Miasto",Biuro / Deweloper,Apartamentowiec,Tak,1,0,0,328.0,30,15.10.2019,"Centrum Legnicka Pixel House 2 pok,garaż,klimatyzacja",494844384,https://www.olx.pl/oferta/centrum-legnicka-pixel-house-2-pok-garaz-klimatyzacja-CID3-IDxujD2.html#f8df86b756
2 800 zł,450 zł,40 m²,2 pokoje,6,"Wrocław, Dolnośląskie, Stare Miasto",Biuro / Deweloper,Apartamentowiec,Tak,1,0,1,364.0,30,15.10.2019,"Bulwary przy RYNKU,eleganckie, nowe,klimatyzacja garaż",552687213,https://www.olx.pl/oferta/bulwary-przy-rynku-eleganckie-nowe-klimatyzacja-garaz-CID3-IDBp1bT.html#f8df86b756
2 200 zł,500 zł,47 m²,2 pokoje,1,"Wrocław, Dolnośląskie, Fabryczna",Biuro / Deweloper,Apartamentowiec,Tak,1,0,0,547.0,15,15.10.2019,"Ok.Grabiszyńskiej Corte Verona, 2 pok,balkon,garaż",552683489,https://www.olx.pl/oferta/ok-grabiszynskiej-corte-verona-2-pok-balkon-garaz-CID3-IDBp0dP.html#f8df86b756
2 200 zł,350 zł,67 m²,3 pokoje,2,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,1,1,1,448.0,+30,15.10.2019,"Komfortowe, 3-pokojowe mieszkanie po remoncie, Zakrzów, Wrocław,",558267642,https://www.olx.pl/oferta/komfortowe-3-pokojowe-mieszkanie-po-remoncie-zakrzow-wroclaw-CID3-IDBMqUO.html#f8df86b756;promoted
2 000 zł,325 zł,50 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Psie Pole",Osoby prywatnej,Blok,Tak,1,0,0,1249.0,6,15.10.2019,"Nowe mieszkanie, Wrocław, Sołtysowice, Wojaczka, pierwszy wynajem!!!",560885473,https://www.olx.pl/oferta/nowe-mieszkanie-wroclaw-soltysowice-wojaczka-pierwszy-wynajem-CID3-IDBXpWT.html#f8df86b756;promoted
1 700 zł,170 zł,23 m²,Kawalerka,5,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Apartamentowiec,Tak,1,0,0,598.0,30,15.10.2019,Kawalerka na przeciwko Bussiness Garden Od Stycznia PRZEDMIEJSKA,551546149,https://www.olx.pl/oferta/kawalerka-na-przeciwko-bussiness-garden-od-stycznia-przedmiejska-CID3-IDBkelD.html#f8df86b756;promoted
2 000 zł,1 zł,60 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Dom wolnostojący,Tak,0,0,0,93.0,7,15.10.2019,Wynajmę mieszkanie Wrocław 2 pokoje 60m2,562166602,https://www.olx.pl/oferta/wynajme-mieszkanie-wroclaw-2-pokoje-60m2-CID3-IDC2Ndg.html#f8df86b756
999 zł,200 zł,57 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,1,1369.0,4,15.10.2019,"Wrocław Kuźniki - 3 pokoje do wynajęcia, pierwszy najem.",558952306,https://www.olx.pl/oferta/wroclaw-kuzniki-3-pokoje-do-wynajecia-pierwszy-najem-CID3-IDBPj1M.html#f8df86b756
3 000 zł,120 zł,70 m²,3 pokoje,5,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Kamienica,Tak,0,0,0,235.0,11,15.10.2019,Wynajmę mieszkanie 3 pokojowe 2 min od PWr-u,558228089,https://www.olx.pl/oferta/wynajme-mieszkanie-3-pokojowe-2-min-od-pwr-u-CID3-IDBMgCR.html#f8df86b756
1 100 zł,1 zł,64 m²,3 pokoje,1,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Kamienica,Tak,0,0,0,533.0,13,15.10.2019,Duży pokój do wynajęcia w mieszkaniu trzypokojowym. Ul. Szczytnicka,558342928,https://www.olx.pl/oferta/duzy-pokoj-do-wynajecia-w-mieszkaniu-trzypokojowym-ul-szczytnicka-CID3-IDBMKw6.html#f8df86b756
1 400 zł,580 zł,47 m²,2 pokoje,3,"Wrocław, Dolnośląskie, Fabryczna",Osoby prywatnej,Blok,Tak,0,0,1,2535.0,2,15.10.2019,Do wynajęcia mieszkanie 47m2 2 pokoje Wrocław Złotniki,533454604,https://www.olx.pl/oferta/do-wynajecia-mieszkanie-47m2-2-pokoje-wroclaw-zlotniki-CID3-IDA6jUv.html#f8df86b756
1 200 zł,10 zł,16 m²,3 pokoje,4,"Wrocław, Dolnośląskie, Śródmieście",Osoby prywatnej,Blok,Tak,0,0,1,1112.0,15,15.10.2019,W świetnej lokalizacji wynajmę duży ładny pokój z balkonem,559570010,https://www.olx.pl/oferta/w-swietnej-lokalizacji-wynajme-duzy-ladny-pokoj-z-balkonem-CID3-IDBRTIK.html#f8df86b756;promoted
1 800 zł,300 zł,23 m²,Kawalerka,Parter,"Wrocław, Dolnośląskie, Krzyki",Osoby prywatnej,Apartamentowiec,Nie,0,1,0,123.0,14,15.10.2019,Mieszkanie Kawalerka Na Grobli,562162215,https://www.olx.pl/oferta/mieszkanie-kawalerka-na-grobli-CID3-IDC2M4w.html#f8df86b756
2 600 zł,490 zł,63 m²,2 pokoje,Parter,"Wrocław, Dolnośląskie, Krzyki",Biuro / Deweloper,Blok,Tak,0,0,0,44.0,+30,15.10.2019,63 m2 + Taras 70 m2 ul. Zwycięska Krzyki,562161674,https://www.olx.pl/oferta/63-m2-taras-70-m2-ul-zwycieska-krzyki-CID3-IDC2LWM.html#f8df86b756
