,city,job_title,company_name,location,summary,salary
34,New+York,Research Analyst,Viacom,"New York, NY 10036",Nothing found,"Collect, organize and analyze Nielsen data for daily/weekly reports and ad-hoc requests. The Analyst will work with the team to extract and interpret Nielsen..."
35,New+York,Data Scientist - Operations Research,New York City FIRE DEPARTMENT,"Brooklyn, NY","$82,008 - $94,309 a year","Provide data leveraging to create visualizations and dashboards in Tableau. To determine if the residency requirement applies to you, please discuss with the..."
36,New+York,Research Intern- AI Ethics,Microsoft,"New York, NY 10022 (Midtown area)",Nothing found,"Excellent interpersonal skills, cross-group, and cross-culture collaboration. Must be currently enrolled in an undergraduate or PhD program in Computer Science..."
37,New+York,Data Analyst,Revel,"Brooklyn, NY",Nothing found,Ability to quickly understand new technologies and data environments. Build and automate visualizations and reporting. We aren’t afraid to dream big....
38,New+York,"Data Scientist, Product Analytics",BuzzFeed,"New York, NY 10013 (Tribeca area)","$93,000 - $138,000 a year (Indeed est.)",Design robust experiments and evaluate their results. Proficiency manipulating data with Python. Experience with social data or media is a plus....
39,New+York,Data Scientist,Blackboard Insurance,"New York, NY 10271 (Financial District area)","$106,000 - $156,000 a year (Indeed est.)","Take ownership of development and implementation of ideas and solutions. We do not discriminate on the basis of race, religion, color, national origin, gender,..."
40,New+York,Entry-Level Research Analyst,Acuris,"New York, NY",Nothing found,Demonstrated interest in financial and/or legal subjects. Ability to quickly and creatively interpret diverse qualitative and quantitative data....
41,New+York,"Data Scientist, Partnerships Insights, YouTube",YouTube,"New York, NY",Nothing found,"As a Partnerships Insights Data Scientist, you will work on strategic business challenges revolving around the economics of YouTube’s Content Business...."
42,New+York,Data Scientist,Revlon,"New York, NY",Nothing found,We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience....
43,New+York,Data Scientist,Public Goods,"New York, NY",Nothing found,"We are growing very fast, and are looking for a data scientist to extract, aggregate, visualize and analyze company data to help inform strategy...."
44,New+York,Data Scientist,TripleLift,"New York, NY 10011 (Chelsea area)",Nothing found,"TripleLift is seeking an experienced data scientist to join our team full time. As a senior data scientist, you will responsible for exploring and leveraging..."
45,New+York,Data Scientist,AlphaSights Ltd.,"New York, NY",Nothing found,Data Scientist. A growing team of data scientists with diverse backgrounds and skillsets. See yourself as an entrepreneur as well as a data scientist....
46,New+York,Data Scientist,Neuberger Berman,"New York, NY 10004 (Financial District area)",Nothing found,"Apply statistical and machine learning techniques to large data sets for data quality control, feature engineering and bias correction...."
47,New+York,Data Scientist- People Analytics,IBM,"Armonk, NY 10504",Nothing found,"As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and..."
48,New+York,Data Scientist,Oath Inc,"New York, NY 10024 (Upper West Side area)",Nothing found,Explore solutions to our hardest business problem from vast amount of Oath's first party data and sometimes in conjunction of certain third party data....
49,New+York,Data Scientist,"Two Sigma Investments, LLC.","New York, NY",Nothing found,"Identifying timely and unique data sets, diving deep into a diverse set of data domains, visualizing and exploring underlying data drivers, and developing data..."
50,New+York,Data Scientist,Citizen,"New York, NY",Nothing found,"Distilling questions, wrangling data, and driving decisions with data analytics. Work with Engineering to evangelize data best practices and implement data..."
51,New+York,"Data Scientist, Detection",White Ops,"New York, NY","Similar jobs pay $93,000 - $137,000 a year","At White Ops, we’re all hackers. This doesn’t mean you have to hold a key to the internet (although one of our founders does!), but it does require approaching..."
52,New+York,Data Scientist,New York University,"New York, NY","Similar jobs pay $73,000 - $108,000 a year",New York University:. NYU - Domestic:. Faculty of Arts and Science (FAS):. Politics Department....
53,New+York,"Data Scientist, Integrity and Investigations",the NBA,"New York, NY 10022 (Midtown area)","Similar jobs pay $113,000 - $167,000 a year","At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our..."
54,New+York,Data Scientist,Everytown for Gun Safety,"New York, NY","Similar jobs pay $96,000 - $142,000 a year","Everytown for Gun Safety, the nation's largest gun violence prevention advocacy group, is seeking a Data Scientist...."
55,New+York,Data Scientist,Legends,"New York, NY","Similar jobs pay $91,000 - $134,000 a year",THE COMPANY. Legends is a holistic agency that specializes in delivering solutions for legendary brands. We approach each project with our 360-degree service...
56,New+York,Data Scientist,FCB Global,"New York, NY","Similar jobs pay $91,000 - $134,000 a year","JOB SUMMARY. The Data Scientist role is responsible for conceptualizing, designing & delivering data driven solutions for the marketing science team to include..."
57,New+York,"Data Scientist, Global Premium Services",Google,"New York, NY 10011 (Chelsea area)","Similar jobs pay $99,000 - $146,000 a year","By applying to this position your application is automatically submitted to the following locations:. Mountain View, CA, USA; New York, NY, USA...."
58,New+York,Global Data Scientist,Innovations for Poverty,"New York, NY","Similar jobs pay $90,000 - $132,000 a year","The Global Data Scientist is an expert in statistics, data science, and quantitative research who supports a large portfolio of research projects across diverse..."
59,New+York,Data Scientist I,AIG,"New York, NY",Nothing found,Functional Area:. SM - Sales & Marketing. Estimated Travel Percentage (%):. Up to 25%....
60,New+York,Data Scientist,Bluecore,"New York, NY 10002 (Lower East Side area)","Similar jobs pay $101,000 - $149,000 a year",Bluecore is a Retail Performance Cloud specializing in artificial intelligence - based workflows. Our unique ability to leverage machine learning to match...
61,New+York,Associate Data Scientist,Macmillan,"New York, NY 10010 (Gramercy area)","$99,000 - $146,000 a year (Indeed est.)","Macmillan Publishers is a global trade book publishing company with prominent imprints around the world, publishing a broad range of award-winning books for..."
62,New+York,Data Scientist,The NPD Group,"Port Washington, NY 11050","$68,000 - $100,000 a year (Indeed est.)",Learn and work on meaningful initiatives with some of the best and brightest in the market research industry. The NPD Group provides the world’s most successful...
63,New+York,Data Scientist Midlevel,Northeast Information Discovery,"Canastota, NY","$93,000 - $137,000 a year (Indeed est.)","Data Scientist Midlevel Canastota, NY Position Title : Data Scientist Midlevel Employment Type: Full-Time The Job: Use your machine learning and coding know..."
64,New+York,Data Scientist,Hearst Magazines,"New York, NY","$109,000 - $161,000 a year (Indeed est.)",Do you want to be at the leading edge of the big data transformation of a billion dollar media company? Do you want to help cultivate a petabyte-scale data...
65,New+York,Data Scientist,AllianceBernstein,"New York, NY 10020 (Midtown area)","$138,000 - $204,000 a year (Indeed est.)",Company Overview. AB is a leading global investment-management and research firm with more than $500 billion in assets under management and a presence in 22...
66,New+York,"Data Scientist, Global Premium Services",Google,"New York, NY 10011 (Chelsea area)","$99,000 - $146,000 a year (Indeed est.)","By applying to this position your application is automatically submitted to the following locations:. Mountain View, CA, USA; New York, NY, USA...."
67,New+York,Data Scientist Summer Intern,Bowery Valuation,"New York, NY","$85,000 - $126,000 a year (Indeed est.)",Data Scientist Summer Intern. Bowery Valuation is seeking a Data Scientist Intern to assist in statistical projects surrounding public and proprietary data....
68,New+York,"Data Scientist, Product Analytics",BuzzFeed,"New York, NY 10013 (Tribeca area)","$93,000 - $138,000 a year (Indeed est.)",BuzzFeed is looking for extraordinary data scientists to help shape our understanding of how readers use our products and shape what we build....
69,New+York,Data Scientist,Vettery,"New York, NY","$98,000 - $144,000 a year (Indeed est.)","Here's the gist:. Vettery is fundamentally changing the way people hire and get hired. Leveraging machine learning models that track real-time data, monitor..."
70,New+York,Data Scientist,Dow Jones,"New York, NY 10176 (Murray Hill area)","$105,000 - $154,000 a year (Indeed est.)",Job Description:. We are seeking a Data Scientist who will lead and support the core data science capabilities within Dow Jones....
71,New+York,"Analyst, Research & Insights",MasterCard,"Purchase, NY 10577",Nothing found,"The Global Insights & Analytics team helps lead the organization by immersing the Consumer, Issuer, Merchant and other Customers in every conversation..."
72,New+York,Data Scientist- Director/ Sr. Manager level,1-800-Flowers,"Carle Place, NY 11514","Similar jobs pay $111,000 - $164,000 a year","The Data Scientist (Senior Manager or Director-level) will be part of the Enterprise BI team at 1-800-Flowers.com, Inc...."
73,New+York,Associate Data Scientist,Macy's,"New York, NY 10001 (Chelsea area)",Nothing found,"Job Overview:. As part of the Supply Chain group, the Associate Data Scientist will develop innovative analytical approaches to merchandising, supply chain,..."
74,New+York,"Machine Learning Solutions Engineer, Google Cloud, Professional Services",Google,"New York, NY 10011 (Chelsea area)",Nothing found,"By applying to this position your application is automatically submitted to the following locations:. Sunnyvale, CA, USA; New York, NY, USA...."
75,New+York,NLP Data Scientist,S&P Global Ratings,"New York, NY 10041 (Financial District area)","Similar jobs pay $107,000 - $157,000 a year",The Team:. The Data science team is a newly formed applied research team within S&P Global Ratings that will be responsible for building and executing a bold...
76,New+York,Senior Data Scientist,"Remedy BPCI Partners, LLC.","New York, NY",Nothing found,"DS/ML stack:. Python, PySpark, SQL. Data Tools:. Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet...."
77,New+York,"Data Scientist/Analyst - Ad Operations, Data Science",Fox Corporation,"New York, NY","Similar jobs pay $125,000 - $185,000 a year","OVERVIEW OF THE COMPANY. Fox Corporation. Under the FOX banner, we produce and distribute content through some of the world’s leading and most valued brands,..."
78,New+York,CIB - Data Scientist - VP,JP Morgan Chase,"New York, NY 10002 (Lower East Side area)","Similar jobs pay $146,000 - $215,000 a year",About J.P. Morgan Corporate & Investment Bank. Morgan’s Corporate & Investment Bank (CIB) is a global leader in Banking....
79,New+York,Data Science / ML Engineer,JP Morgan Chase,"New York, NY 10172 (Gramercy area)","Similar jobs pay $118,000 - $175,000 a year","We are building the #1 Asset Management Technology platform in the world and we need exceptional, motivated, and world-class talent to join the Portfolio Core..."
80,New+York,Data Scientist Technical Lead,Google,"New York, NY 10011 (Chelsea area)","Similar jobs pay $85,000 - $125,000 a year","By applying to this position your application is automatically submitted to the following locations:. New York, NY, USA; Mountain View, CA, USA;..."
81,New+York,Data Scientist,Element Global Search,"New York, NY","Similar jobs pay $107,000 - $158,000 a year","Data Scientist - New York, NY. The Data Scientist will participate in architecting, building and continually advancing the firm's ability to analyze data..."
82,New+York,"Senior Data Scientist, User Fraud",Spotify,"New York, NY 10011 (Chelsea area)",Nothing found,"We are looking for a Senior Data Scientist to join the band and help drive a data-first culture, focused on user fraud prevention, detection and research...."
83,New+York,Associate Data Scientist,Macmillan,"New York, NY 10010 (Gramercy area)","Similar jobs pay $99,000 - $146,000 a year","As an Associate Data Scientist, you will play a part in shaping Macmillan’s future, helping it become a more data-driven company...."
84,New+York,Research Data Associate,NYU Langone,"New York, NY",Nothing found,"Track recruitment, data collection progress, and participant payments using spreadsheets (e.g., Excel). We have an exciting opportunity to join our team as a..."
85,New+York,Data Scientist,Everytown for Gun Safety,"New York, NY","Similar jobs pay $96,000 - $142,000 a year","The Data Scientist will be the policy data lead for the organization, responsible for advanced data management, analysis, and visualization...."
86,New+York,"Data Analyst, PNA",New York City NYC HOUSING AUTHORITY,"Manhattan, NY","$72,476 - $106,222 a year","Ability to create, modify and update reports utilizing various department data sources. Utilize the Physical Needs Assessment database and data collected from..."
87,New+York,Head of Data Science,EQUINOX,"New York, NY","Similar jobs pay $97,000 - $144,000 a year",Make Equinox data more discoverable and easy to use for Data Scientists and Analysts across the company. Collaborate with other specialists and Data Scientists...
88,New+York,Senior Data Scientist,IBM,"New York, NY 10002 (Lower East Side area)",Nothing found,"Senior Data Scientist, IBM Corporation, New York, NY:. Technical management of a team of data scientists in building enterprise AI solutions...."
89,New+York,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)","Similar jobs pay $89,000 - $132,000 a year",Data Infrastructure. We're looking for Data Scientists to work on our core and business products (ex. The Data Scientist Analytics role has work across the...
90,New+York,Data Scientist I (Marketing Strategy & Analytics),Grubhub,"New York, NY","Similar jobs pay $94,000 - $139,000 a year","We are looking for a Data Scientist / Data Engineer, who will support the high-performance Growth Strategy & Analytics team and work cross-functionally to..."
91,New+York,Data Scientist,New York University,"New York, NY",Nothing found,Faculty of Arts and Science (FAS):. The Public Safety Lab at New York University is looking for a full-time data scientist to build and....
92,New+York,Data Scientist,Dow Jones,"New York, NY 10176 (Murray Hill area)",Nothing found,We are seeking a Data Scientist who will lead and support the core data science capabilities within Dow Jones....
93,New+York,Data Scientist,The NPD Group,"Port Washington, NY 11050",Nothing found,Learn and work on meaningful initiatives with some of the best and brightest in the market research industry. The NPD Group provides the world’s most successful...
94,New+York,Data Scientist - Natural Language Processing,The Farmer's Dog,"Manhattan, NY",Nothing found,"The Farmer's Dog exists to simplify giving every dog their best life. Completely reimagining what pet food is, how it's made, and how it's delivered...."
95,New+York,Data (Analyst) Scientist,A+E Networks,"New York, NY","Similar jobs pay $108,000 - $159,000 a year",The Data Scientist is a technical contributor who brings hands-on knowledge of media data and all phases in building and maintaining large-scale cloud-based...
96,New+York,"Data Scientist (C13/VP) New York, NY",Citi,New York State,"Similar jobs pay $99,000 - $146,000 a year",Global Compliance plays a critical role in the successful execution of the firm’s compliance mission. The Compliance function ensures the development and...
97,New+York,Sr. Data Scientist,MetroPlus Health Plan,"New York, NY 10038 (Financial District area)","$135,000 - $145,000 a year","MetroPlus Health Plan provides the highest quality healthcare services to residents of Bronx, Brooklyn, Manhattan, Queens and Staten Island through a..."
98,New+York,Director Data Science,AETNA,"New York, NY 10016 (Gramercy area)",Nothing found,"Directs analytics professionals and, in some cases, managers of analytics teams. Applies experience from strategy consulting, analytics, and data engineering to..."
99,New+York,NLP Data Scientist,S&P Global Ratings,"New York, NY 10041 (Financial District area)",Nothing found,The Data science team is a newly formed applied research team within S&P Global Ratings that will be responsible for building and executing a bold vision around...
100,New+York,"Data Scientist/Analyst - Ad Operations, Data Science",Fox Corporation,"New York, NY",Nothing found,"Under the FOX banner, we produce and distribute content through some of the world’s leading and most valued brands, including:...."
101,Chicago,Data Support Analyst - Entry-Level - Technology Startup,Enterprise Peak,"Chicago, IL",$17 - $24 an hour (Indeed est.),Data Support Analyst Responsibilities:. The Data Support Analyst will join our data engineering team and will be responsible for mapping out high-tech labor...
102,Chicago,Data Scientist - Summer Intern - University Students,McKinsey & Company,"Chicago, IL","$78,000 - $115,000 a year (Indeed est.)","You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets...."
103,Chicago,"Research Analyst, People Analytics",Google,"Chicago, IL 60607 (Near West Side area)",Nothing found,"Experience working with and manipulating data from businesses (e.g., checking for data issues, cleaning, merging). Experience using SQL to clean data...."
104,Chicago,Campus: Data Scientist (Summer 2019 Start),Optiver US,"Chicago, IL","$92,000 - $135,000 a year (Indeed est.)",Optiver is looking for entry level Data Scientists in our Chicago office. Collaborate with Senior Traders and Data Scientists to develop strategies based on...
105,Chicago,Statistical Research Specialist II,State of Illinois,"Cook County, IL","$3,647 - $5,342 a month","Compiles data from secondary sources to ensure complete and accurate data; Under general supervision, validates new electronic surveillance data and performs..."
106,Chicago,Business Analyst - Entry-Level - Tech Startup,Enterprise Peak,"Chicago, IL",Nothing found,"We operate utilizing our virtual consulting platform of scientists, engineers, and management consultants to deliver global engagements. About Us:...."
107,Chicago,Deloitte Global- Data Scientist,Deloitte,"Chicago, IL 60606 (Loop area)","$90,000 - $133,000 a year (Indeed est.)",Train other data scientists in area of expertise. Develop and implement data harvesting best practices and capabilities for data driven insights....
108,Chicago,Data Scientist,Bank of America,"Chicago, IL 60603 (Loop area)",Nothing found,A broad knowledge of Hadoop & how to leverage the data with multiple applications. Provide an in-depth understanding of data modeling and how the design will...
109,Chicago,Data Scientist - Life Sciences,Argonne National Laboratory,"Lemont, IL 60439","$59,000 - $87,000 a year (Indeed est.)",Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data....
110,Chicago,Lead Data Scientist,Nielsen,"Chicago, IL 60647",Nothing found,"By integrating information from its Watch and Buy segments and other data sources, Nielsen provides its clients with both world-class measurement as well as..."
111,Chicago,Data Science Solutions Consultant-PS24364,"Anthem, Inc.","Chicago, IL 60654 (Loop area)",Nothing found,"Specialists who design, build, and integrate data from different sources, with support from IT, which enable Data Scientists to create algorithms/models in the..."
112,Chicago,"Summer Intern, Machine Learning (Python Preferred)",Hub Group,"Oak Brook, IL 60523",Nothing found,"Applying data cleansing, outlier identification, missing data techniques and transform as needed. Data wrangling and scripting. Data analysis and visualization...."
113,Chicago,Data Scientist,"Technomic, Inc.","Chicago, IL 60606 (Loop area)","$68,000 - $100,000 a year (Indeed est.)","The data scientist will utilize a wide variety of predictive modeling & machine learning techniques, our wealth of historical data and tools like R, Alteryx etc..."
114,Chicago,DATA SCIENTIST,Hyatt Corporate Hyatt Corporate Office,"Chicago, IL","$71,000 - $104,000 a year (Indeed est.)",At least 3 years of professional experience as a Data Scientist. The Data Scientist – Analytics will join a team that is on an upward trajectory to enhance...
115,Chicago,Team Lead Data Science,Grubhub,"Chicago, IL 60602 (Loop area)","$77,000 - $114,000 a year (Indeed est.)",Manages a team of data scientists and provides mentorship and coaching on career growth for People Management responsibility....
116,Chicago,"Analyst, Data Science",Evolent Health,"Chicago, IL","$75,000 - $110,000 a year (Indeed est.)","You’ll join a team of data scientists, analysts, and software engineers working to push the boundaries of data science in health care...."
117,Chicago,SR Data Scientist,Cognizant Technology Solutions,"Chicago, IL",Nothing found,Senior Data Scientist Qualifications. Excellent data handling and data management skills in R/ Python/ SAS/ SQL....
118,Chicago,Data Scientist,Bank of America,"Chicago, IL 60603 (Loop area)",Nothing found,A broad knowledge of Hadoop & how to leverage the data with multiple applications. Provide an in-depth understanding of data modeling and how the design will...
119,Chicago,Campus: Data Scientist (Summer 2019 Start),Optiver US,"Chicago, IL","$92,000 - $135,000 a year (Indeed est.)",Optiver is looking for entry level Data Scientists in our Chicago office. Collaborate with Senior Traders and Data Scientists to develop strategies based on...
120,Chicago,Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Chicago, IL",Nothing found,"Our Data Scientists can live in any location that has an AWS office. Work with our Professional Services Big Data consultants to analyze, extract, normalize,..."
121,Chicago,"Analyst, Data Science",Evolent Health,"Chicago, IL",Nothing found,"You’ll join a team of data scientists, analysts, and software engineers working to push the boundaries of data science in health care...."
122,Chicago,Senior Data Scientist,NORC at the University of Chicago,"Chicago, IL",Nothing found,"Mentor and facilitate the professional development of Data Analysts and Data Scientists; As a Senior Data Scientist in CESR, you’ll...."
123,Chicago,Data Scientist - Life Sciences,Argonne National Laboratory,"Lemont, IL 60439",Nothing found,Problems typically involve the construction of computational models for phenotype prediction from data that includes genomic data and other omics data....
124,Chicago,Data Science Intern - Payformance Solutions,Altarum,"Chicago, IL",Nothing found,"Data Scientist Intern – March, 2019, Payformance Solutions (hourly position). Knowledge of data analytics methodologies, including distribution testing, data..."
125,Chicago,"Principal Data Scientist - Chicago, IL","Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",Nothing found,Data visualization; Data scientists work embedded in specific business areas or on our centralized enterprise analytics team to develop data science products...
126,Chicago,"Analyst, Data Management and Analytics - BAI Research",BAI Online,"Chicago, IL",Nothing found,"Data requests and data analyses; Data profiling, quality assessments and data cleansing; Processing ad-hoc data requests;..."
127,Chicago,Research/Data Analyst,JLL,"Chicago, IL",Nothing found,Maintain an acceptable level of data completeness to include data validation and audit levels. You will have primary responsibility for collecting and analyzing...
128,Chicago,Data Management Engineer/Scientist,Honeywell,"Des Plaines, IL 60016",Nothing found,Data Management Engineer/Scientist. Data System Support:. Provide support for specialized data acquisition and data processing systems utilized as part of data...
129,Chicago,Research Analyst,The University of Chicago,"Chicago, IL",Nothing found,"Develops objectives, designing sampling, randomization, and data collection procedures. Uses knowledge of statistics to help develop objectives and statistical..."
130,Chicago,Assistant Computer Scientist,Argonne National Laboratory,"Lemont, IL 60439",Nothing found,Experience and skills in interdisciplinary research involving computer scientists and discipline scientists....
131,Chicago,Data Scientist - Life Sciences,Argonne National Laboratory,"Lemont, IL 60439",Nothing found,Familiarity working in a Unix environment. Ability to think independently and innovatively to develop exceptional technical solutions required....
132,Chicago,Eicoff - Data Scientist,Ogilvy,"Chicago, IL",Nothing found,"5+ years of statistical modeling experience. Provide innovative, actionable and insightful analysis. Eicoff is a Chicago-based, full-service advertising agency...."
133,Chicago,Fraud Data Scientist,Bank of America,"Chicago, IL 60601 (Loop area)",Nothing found,"Model development (neural network, deep learning, random forest). Solid knowledge of R, Java or Spark, and various commercial and model generation software...."
134,Chicago,"Associate, Data Engineer",KPMG,"Chicago, IL 60290 (Loop area)",Nothing found,"Design, build, launch, optimize, and extend full-stack data and business intelligence solutions spanning extraction, storage, transformation, and visualization..."
135,Chicago,"Quantitative Development Internship - Data Analysis, Summer 2020",Akuna Capital,"Chicago, IL",Nothing found,Exposure to financial markets and trading. Experience with generic and/or parallel programming. Design and develop production code of trading strategies:....
136,Chicago,Senior Data Scientist,Mintel,"Chicago, IL 60612 (Near West Side area)",Nothing found,"Team player with a collaborative nature. Work alongside engineers and other team members to ensure the proper deployment, management and monitoring of machine..."
137,Chicago,Research Analyst,The University of Chicago,"Chicago, IL",Nothing found,"Develops and implements new innovative procedures in the areas of data collection, quality control, presentation of results, and statistical analyses...."
